job_title,Company,posted_by,query_date,location,Description,positions,url
IOS developer,RZ Placement Services,Times job,21/06/2022,Ahmedabad,"HIRING FOR IOS DEVELOPERRequired Skills:Proficient with Objective-C / Swift.Good Understanding aboutiOS SDK, Backward Compatibility and Xcode.Ability to work on complex UI/ UX... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Graphic Designers for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Develop the graphic elements that meet the clients' objectivesPrepare sketches, layouts and graphic elements of the subjects to be rendered using traditional tools, multimedia... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Web Designers and Developers for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Consult with clients to develop and document Website requirements.Source, select and organize information for inclusion and design the appearance, layout and flow of the Websi... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Senior SAP Associates for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","There are excellent opportunities for Sr. SAP Associates in Canada. Any SAP module (FI, CO, SD, PP, MM, QM, SCM, HCM) expert required. Should have experience in SAP implementa... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Web Designer,Job centre,Times job,21/06/2022,"Delhi,  Delhi/NCR,  Gurgaon,  Faridabad",We are looking for a Web Designer to create engaging and on-brand graphics for a variety of media.ResponsibilitiesStudy design briefs and determine requirementsSchedule projec... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Data Entry/computer Operator,Minanshika Softech Solution Pvt. Ltd.,Times job,21/06/2022,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune", ) Medical Transcription Data Entry OperatorThis project is based on medical content which is given in form of image files in specified app of Company. User has to install th... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Senior Software Testers for USA / Canada,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Japan,  null","Researching, consulting, analyzing and evaluating system program needs.Develop and document software testing plans.Install software and hardware and configure operating system... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Software and Applications Programmers for USA / Canada,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Japan,  null","Researching and analyzing and evaluating system program needsIdentifying technology limitations and deficiencies in existing systems and associated processes, procedures and m... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Database analysts and  administrators for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Document data requirements and data collection.Provide advice to other information systems professionals regarding the collection, availability, security and suitability of da... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Java developer,RZ Placement Services,Times job,21/06/2022,Ahmedabad,"HIRING FOR JAVA DEVELOPERRequired Skills: Java, JEE, Spring, Hibernate, JPA, MEAN Stack Frameworks, MySQL, MongoDB, NoSQL Databases,Big Data Or Hadoop knowledge is a plus.Job... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Vice President - Technology - Cloud & ML/AI Domain,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",JDWe are hiring for VP - Technology role for one of our global IT Services client. This role is for diversity hiring (Only female candidates) and job location is Mumbai/Bangal... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Project & Program Manager,HR Jobs Placements,Times job,21/06/2022,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune","JDThey are responsible for the daily management through the life cycle of the program.They define the program controls, that is the processes, procedures, reporting, etc., to ... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
IT Director,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Mumbai,  Pune",JD:Overseeing all technology operations and evaluating them according to established goalsDevising and establishing IT policies and systems to support the implementation of st... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Data Entry/computer Operator l Work From Home l Earn Rs.K PM,Minanshika Softech Solution Pvt. Ltd.,Times job,21/06/2022,"Vijayawada,  Visakhapatnam,  Cochin/ Kochi/ Ernakulam,  Thiruvananthapuram,  Coimbatore","Are You Looking Best Legitimate Genuine Online/Part Time/Full Time Data Entry Work From Home In IndiaIf Yes, You Are Welcome. We areGovt. Reg. Fast Growing Company, And BestDa... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Technical Architect,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Pune","Delivers of significant contributions to technical specifications and solution definition for American Express EMV, Contactless card and Mobile Payment products and services, ... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
"ETL Software Testing,DWH Testing",HR Jobs Placements,Times job,21/06/2022,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",+ years of experience in DB and ETL testingShould have operational experience in Informatica ETL Tool.(Primary) Should have good knowledge in DWH concepts(Primary)Should have... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
IT Project Managers For Canada,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Australia,  Canada,  null,  null,  null","Analysing information needs and specifying technology to meet those needsFormulating and directing information and communication technology (IT) strategies, policies and plans... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Technology Manager,HR Jobs Placements,Times job,21/06/2022,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Noida/Greater Noida,  Pune","Provide Leadership For A Team Responsible For System/Software Consultancy, Administration, Development, Documentation, Testing, Installation And Training Of Internal And Exter... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Chief Operating Officer (COO),HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata","Budget : management, reporting, tracking, forecasting and annual budget process   working with individual teams to build budgets and track spend. Process : documentation and c... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Head of IT Department,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Mumbai,  Pune","Lead implementation and integration of new systems , and enhance the efficiency and effectiveness of IT current systems and applicationsDriving Mobility , Digitization , Appli... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Network Support Engineer,Jobz Unlimited,Times job,21/06/2022,Mumbai,"Bachelor's/Master's Degree in the field of Engineering/Computer Science/IT+ years of experience in computer networking-related problem solving, critical thinking, and trouble... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Software Testing Engineer,HR Jobs Placements,Times job,21/06/2022,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon","Responsible for software quality effort on applications or embedded software projects. Plan, organize, and do execution of software quality activities . Responsible for all so... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Java Project Manager,HR Jobs Placements,Times job,21/06/2022,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",We are looking for a Java Technical PM People Manager  to  years experience with handling team of medium   and process for various projects Provide Reports for the suppor... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Project Manager SAP,HR Jobs Placements,Times job,21/06/2022,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune","Application management processes (Incident, Change, Problem, Demand & Capacity)Should have experience in Agile project management practice.Should have very good overview o... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Project Manager,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune","Primary Skills:+ years experienced Project manager/LeadPrimarily from Embedded background (HW or FW)Medical domain preferred,Should have experience in complete project life c... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
IT Consulting,Infosys Limited,Indeed,21/06/2022,"Bengaluru, Karnataka+ locations","A day in the life of an Infoscion • As part of the Infosys consulting team, your primary role would be to actively aid the consulting team in different phases…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Testing,Infosys Limited,Indeed,21/06/2022,"Bengaluru, Karnataka+ locations","A day in the life of an Infoscion • As part of the Infosys testing team, your primary role would be to Develop test plan, prepare effort estimation and schedule…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Helpdesk Engineer - Work From Home,TTUAE,Indeed,21/06/2022,"Remote in Thiruvananthapuram, Kerala","Our back office will focus on all our sales, customer service, operations & remote IT support.
IT Help-desk Engineer + Remote Support + Support Coordinator -…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
System Engineer/Desktop support engineer,Three Pentacles,Indeed,21/06/2022,"Navi Mumbai, Maharashtra","Install and maintain equipment and software.
Help new employees set up their workstations.
Maintain and upgrade equipment as needed.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
Desktop Support Engineer,Rigel Networks,Indeed,21/06/2022,"Remote in Shiliguri, West Bengal+ location","Desktop and laptop hardware knowledge.
Desktop support:  year (Preferred).
Technical Support Occupations:  year (Preferred).
IT support:  year (Preferred).",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Associate,DentistFind,Indeed,21/06/2022,"Remote in Chennai, Tamil Nadu","Business hours are between  AM to  PM Eastern Time (EST) but working hours are only . hours per day.
Install, manage, and configure software systems in…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Support Engineer- SQL,Netizen Engineering Private Limited,Indeed,21/06/2022,"Airoli, Navi Mumbai, Maharashtra","Responsible for TAT adherence as per targets.
Responsible for Quality Closure for tickets .
Responsible for Identifying and Implementing new Process for…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Support (voice process),Atreus Consultant,Indeed,21/06/2022,"Mumbai, Maharashtra","SHIFT : Day rotational shift( days working with  rotational week off).
SALARY : Upto k (Depends on interview and experience).",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
newIT Support,Bexcode Services,Indeed,21/06/2022,Remote,"Experience: - years in IT Support specifically in Troubleshooting.
Own system with a good network.
Excellent communication in English, Hindi & Gujrati.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
"IT Support Engineer, Early Career, October  Start",Google,Indeed,21/06/2022,"Bengaluru, Karnataka","Diploma or equivalent practical experience.
Experience troubleshooting in a Linux, Mac OS, or Windows networked environment, supporting desktops/laptops, phone…",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
newHiring Hardware Networking - IT Support,Pranav Construction Systems Pvt Ltd,Indeed,21/06/2022,"Badlapur, Maharashtra","Purchase, installation and maintenance of new and existing desktops/laptops.
Responsible for installing and configuring software and hardware.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
newIT Network Engineer,Mobigic Technologies Private Limited,Indeed,21/06/2022,"Pune, Maharashtra+ location","Provide IT system/network/user support for the firm’s operating centers in Chennai.
Monitor availability and reliability of IT infrastructure.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
freshers job IT,Iginitive Labz,Indeed,21/06/2022,"Hyderabad, Telangana","Job Types: Full-time, Regular / Permanent, Fresher.
Hyderabad, Hyderabad - , Telangana: Reliably commute or planning to relocate before starting work …",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
newIT Support (Remote),AnywhereWorks,Indeed,21/06/2022,Remote,"Test application performance for potential bottlenecks, identify possible solutions and work with developers to implement those fixes.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
Technical Support Executive,eclinicalworks,Indeed,21/06/2022,"Remote in Mumbai, Maharashtra","The role of a Software Specialist is to communicate with customers (internal and external) to understand the.
Be updated with process and product knowledge.",1,https://in.indeed.com/jobs?q=IT&l&vjk=b2f55c702ac31cb1
IT Consulting,Infosys Limited,Glassdoor,21/06/2022,Bangalore,"Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Testing,Infosys Limited,Glassdoor,21/06/2022,Bangalore,"A day in the life of an Infoscion • As part of the Infosys testing team, your primary role would be to Develop test plan, prepare effort estimation and schedule……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Delivery,Infosys Limited,Glassdoor,21/06/2022,Bangalore,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
System Engineer/Desktop support engineer,Three Pentacles,Glassdoor,21/06/2022,Navi Mumbai,Advise executives on the best technological solutions for an organization. Install and maintain equipment and software. Respond to ad hoc and urgent requests.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
Hiring Hardware Networking - IT Support,Pranav Construction Systems Pvt Ltd,Glassdoor,21/06/2022,Badlapur,"Identify issues of hardware and software, investigate root causes and recommend solutions. Purchase, installation and maintenance of new and existing desktops……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Support Engineer- SQL,Netizen Engineering Private Limited,Glassdoor,21/06/2022,India,Responsible for Identifying and Implementing new Process for improvement. Ability to Change & implement the process closely working with IT project managers and……,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Network Engineer,Mobigic Technologies Private Limited,Glassdoor,21/06/2022,Pune,To service Hive center member’s requirement for technology service delivery. Relevant certifications in IT Network/Support would be an added advantage.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Support Engineer,Kartik Enterprises,Glassdoor,21/06/2022,Navi Mumbai,Responding to client support requests. Traveling to the client’s location or connecting via a remote link. Troubleshooting hardware and software issues.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Associate,DentistFind,Glassdoor,21/06/2022,Chennai,"Possess excellent organizational, analytical, and communication abilities. Business hours are between  AM to  PM Eastern Time (EST) but working hours are only……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Support,Bexcode Services,Glassdoor,21/06/2022,Remote,Timings: US shift (Night shift). IT support:  years (Preferred). Software troubleshooting:  years (Preferred). Own system with a good network.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
"IT Support Engineer, Early Career, October  Start",Google,Glassdoor,21/06/2022,Bangalore,"Beyond the day-to-day, you will contribute to various initiatives, including feedback on those tools and technologies, process improvements, and documentation……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Hardware Support,Strata Geosystems (India) Pvt Ltd,Glassdoor,21/06/2022,Mumbai,"- years of experience of in computer hardware. Computer Hardware:  years (Preferred). Repairing , maintenance of computer peripherals.…",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Executive,Hammond,Glassdoor,21/06/2022,Remote,Remotely providing technical support to teaching and administrative staff. Automation of processes for collaboration tools and end user support.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
Desktop Support Engineer,Rigel Networks,Glassdoor,21/06/2022,Shiliguri,Desktop and laptop hardware knowledge. Desktop support:  year (Preferred). Technical Support Occupations:  year (Preferred). IT support:  year (Preferred).…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Support (voice process),Atreus Consultant,Glassdoor,21/06/2022,Mumbai,SHIFT : Day rotational shift( days working with  rotational week off). SALARY : Upto k (Depends on interview and experience).…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Freshers,PraataH Business Services,Glassdoor,21/06/2022,Pune,Pune IT Freshers - Graduate or PG in IT……,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Engineer,Laqshya Infosoft Solutions,Glassdoor,21/06/2022,India,"CTC: . Lacs to . Lacs (Fixed) + Shuttle +  Meals in Factory. Job : Full Time, Rotating Shifts. Candidate should have knowledge of handling IT Infra +……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
BDE | Inside IT Sales | USA/ UK,TestingXperts,Glassdoor,21/06/2022,Hyderābād,Setting up call appointments/ in-person meetings with the CXO Level/ IT decision makers. They should be confident with building new client relationship and……,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT support resident engineer,OMTEC SYSTEMS,Glassdoor,21/06/2022,Kālkāji Devi,"Resident engineer with sound knowledge in computer hardware and networking. And related peripherals, their installation, software troubleshoot etc.…",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
Technical Support / Desktop Support / IT Support,PRODAT IT SOLUTIONS (INDIA) PVT. LTD,Glassdoor,21/06/2022,JP NAGAR ND PHASE,Test alternative pathways until you resolve an issue. Responding to client support requests. Ask targeted questions to diagnose problems.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Technical Support,Dental Ceramists (India) Pvt. Ltd.,Glassdoor,21/06/2022,Mumbai,Certification as IT Technician will be an advantage. We are looking for a qualified IT Technician who will install and maintain computer systems and networks……,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
We are Looking for Desktop support engineer and System administrator,Quess Corp Limited,Glassdoor,21/06/2022,Pune,L Engineers with minimum  years’ experience in Desktop/Laptop Support with basic level of Server/Network understanding along with backup support.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Support Engineer,Shree Ramkrishna Exports Pvt Ltd,Glassdoor,21/06/2022,Surat,"Tech (IT, Computer Science, Computer Engineering). To Look after Troubleshooting, Desktop, Laptop & Workstation. To Handle Troubleshooting, LAN & WAN Networks.…",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Executive,"The Fern Residency Turbhe, Navi Mumbai",Glassdoor,21/06/2022,Navi Mumbai,"An IT personnel will be responsible for the day-to-day support of all IT systems, business systems, office systems, computer networks, and telephony systems……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Helpdesk Engineer - Work From Home,TTUAE,Glassdoor,21/06/2022,Thiruvananthapuram,"Our back office will focus on all our sales, customer service, operations & remote IT support. IT Help-desk Engineer + Remote Support + Support Coordinator -……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Intern,St. Jude Childcare Centres,Glassdoor,21/06/2022,Mumbai,")Knowledge of Requirement Gathering process. )Basic Understand of Business Applications. )Knowledge of Excel, Word, and PPT.…",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
Jr. Engineer IT and R&D,Segoma Imaging Technologies,Glassdoor,21/06/2022,India,Troubleshoot and rectify General Maintenance related machine faults within reasonable time frame to ensure maximum availability of equipment's.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
Desktop support engineer,Logicserve,Glassdoor,21/06/2022,Navi Mumbai,Total Years of Experience: - years. Ensuring security and upgrades are applied and kept up to date on desktops and laptops.…,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Executive,The Green Acres Academy,Glassdoor,21/06/2022,Mumbai,Voice call recording and retrieving. Set-up Google Suite for staff*. Setting up Email Auto Reply and Auto forwarding for out of office employees and left……,1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
IT Business Analyst,Catalyst Media Integrated LLP,Glassdoor,21/06/2022,Mumbai,"Strong understanding of web applications, websites, mobile applications and related technology solutions. Understanding stakeholder briefs clearly and propose……",1,"https://www.glassdoor.co.in/Job/it-jobs-SRCH_KO0,2.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=IT"
